dataTime,麥寮PT-85126,麥寮PT-85136,麥出PT-851126,彰入PT-M621,彰出PT-M622,大安溪PT-A451,中港溪PT-A441,鳳山溪PT-A461,桃入PT-A421,桃出PT-A422,桃機入PT-C2401,麥出FQ-85136,麥出FQ-85126,彰入FQ-M421,桃入FQ-A421,桃出FQ-A422,前段工況,後段工況
2021-06-24 10:09:53,38.3828125,37.92578125,35.703125,27,26.737499237060547,BsonNull,BsonNull,BsonNull,1.8125,8.9125003814697266,4.0199999809265137,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,257.04000854492188
2021-06-24 10:09:54,38.3828125,37.92578125,35.703125,27,26.737499237060547,BsonNull,BsonNull,BsonNull,1.8125,8.9125003814697266,4.0199999809265137,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,257.04000854492188
2021-06-24 10:09:55,38.3828125,37.92578125,35.703125,27,26.737499237060547,BsonNull,BsonNull,BsonNull,1.8125,8.9125003814697266,4.0199999809265137,-0.00390625,242.0234375,243.14999389648438,243.21885681152344,256.8599853515625
2021-06-24 10:09:56,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.9250001907348633,3.9900000095367432,-0.00390625,242.0234375,243.14999389648438,243.21885681152344,256.76998901367188,2,2
2021-06-24 10:09:57,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.9375,4.0199999809265137,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,256.5,2,2
2021-06-24 10:09:58,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.9375,4.0199999809265137,-0.00390625,242.0234375,243.14999389648438,243.21885681152344,256.5,2,2
2021-06-24 10:09:59,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.9375,4.0300002098083496,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,256.67999267578125,2,2
2021-06-24 10:10:00,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.9375,4.0100002288818359,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,256.23001098632812,2,2
2021-06-24 10:10:01,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.9375,4.0100002288818359,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,256.32000732421875,2,2
2021-06-24 10:10:02,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.9499998092651367,4.0100002288818359,-0.00390625,242.0234375,243,243.03836059570313,256.5,2,2
2021-06-24 10:10:03,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.9499998092651367,4,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,256.58999633789062,2,2
2021-06-24 10:10:04,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.9125003814697266,4.0300002098083496,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,256.32000732421875,2,2
2021-06-24 10:10:05,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.7124996185302734,4.0799999237060547,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,251.3699951171875,2,2
2021-06-24 10:10:06,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.6875,4.179999828338623,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,249.92999267578125,2,2
2021-06-24 10:10:07,38.3828125,37.92578125,35.703125,27,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.6999998092651367,4.179999828338623,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,249.83999633789063,2,2
2021-06-24 10:10:08,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.6875,4.119999885559082,-0.00390625,242.0234375,243,243.03836059570313,248.58000183105469,2,2
2021-06-24 10:10:09,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8250000476837158,8.6999998092651367,4.119999885559082,-0.00390625,242.0234375,243.14999389648438,243.03836059570313,249.02999877929688,2,2
2021-06-24 10:10:10,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.7375001907348633,4.119999885559082,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,249.57000732421875,2,2
2021-06-24 10:10:11,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.7375001907348633,4.119999885559082,-0.00390625,242.0234375,243.14999389648438,243.12860107421875,249.57000732421875,2,2
2021-06-24 10:10:12,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.75,4.1100001335144043,-0.00390625,242.0234375,243.30000305175781,243.21885681152344,250.11000061035156,2,2
2021-06-24 10:10:13,38.3828125,37.92578125,35.703125,26.987499237060547,26.725000381469727,BsonNull,BsonNull,BsonNull,1.8125,8.6999998092651367,4.130000114440918,-0.00390625,242.0234375,243.30000305175781,243.12860107421875,248.94000244140625,2,2
